task0;10-Fold
avg-macro:acc=0.7453237410071943; p=0.6775600206727642; r=0.6016730167894616; f1=0.6097289571053182
max-macro:acc=0.8633093525179856; p=0.8724647724647725; r=0.8811148350590958; f1=0.8671680781895957
min-macro:acc=0.6546762589928058; p=0.5040950040950042; r=0.43779843444227007; f1=0.46182141235070695
