task0;10-Fold
avg-macro: p=0.8247938676059416; r=0.8218833237300052; f1=0.8217658718611662
max-macro: p=0.8549518042192226; r=0.8445189160910487; f1=0.8327663116508873
task1;10-Fold
avg-macro: p=0.632902035765986; r=0.6257262931011621; f1=0.6237025865324056
max-macro: p=0.6584863429559327; r=0.6496403158964735; f1=0.6493569494073046
